fundType,companyName,fundName,registeredAt,expiredAt,settlementMonth,manager,support,purpose,industry,baseRate,totalAmount
투자조합,아주아이비투자,아주아이비투자 모태자조합 제4호,,,12,,모태펀드,,,,40000000000
투자조합,엘비인베스트먼트,엘비인베스트먼트 모태자조합 제7호,,,12,,모태펀드,,,,33000000000
투자조합,에이티넘인베스트먼트,에이티넘인베스트먼트 모태자조합 제5호,,,12,,모태펀드,,,,20000000000
투자조합,유티씨인베스트먼트,유티씨인베스트먼트 모태자조합 제2호,,,12,,모태펀드,,,,20000000000
투자조합,한국투자파트너스,한국투자파트너스 모태자조합 제6호,,,12,,모태펀드,,,,75000000000
투자조합,우리벤처파트너스,우리벤처파트너스 모태자조합 제1호,,,12,,모태펀드,,,,30000000000
투자조합,엘비인베스트먼트,엘비인베스트먼트 모태자조합 제8호,,,12,,모태펀드,,,,71500000000
투자조합,파트너스인베스트먼트,파트너스인베스트먼트 모태자조합 제4호,,,12,,모태펀드,,,,30000000000
투자조합,서울투자파트너스,서울투자파트너스 모태자조합 제1호,,,12,,모태펀드,,,,16000000000
투자조합,우리기술투자,우리기술투자 모태자조합 제2호,,,12,,모태펀드,,,,10000000000
투자조합,마이벤처파트너스,마이벤처파트너스 모태자조합 제3호,,,12,,모태펀드,,,,10000000000
투자조합,지앤텍벤처투자,지앤텍벤처투자 모태자조합 제1호,,,12,,모태펀드,,,,10000000000
투자조합,코오롱인베스트먼트,코오롱인베스트먼트 모태자조합 제3호,,,12,,모태펀드,,,,20000000000
투자조합,미래에셋벤처투자,미래에셋벤처투자 모태자조합 제1호,,,12,,모태펀드,,,,4200000000
투자조합,캐피탈원,캐피탈원 모태자조합 제1호,,,12,,모태펀드,,,,12000000000
투자조합,일신창업투자,일신창업투자 모태자조합 제5호,,,12,,모태펀드,,,,30500000000
투자조합,대성창업투자,대성창업투자 모태자조합 제8호,,,12,,모태펀드,,,,19500000000
투자조합,미시간벤처캐피탈,미시간벤처캐피탈 모태자조합 제5호,,,12,,모태펀드,,,,10000000000
투자조합,에스유앤피,에스유앤피 모태자조합 제6호,,,12,,모태펀드,,,,37619000000
투자조합,투썬인베스트,투썬인베스트 모태자조합 제1호,,,12,,모태펀드,,,,20000000000
투자조합,티에스인베스트먼트,티에스인베스트먼트 모태자조합 제2호,,,12,,모태펀드,,,,16600000000
투자조합,이노폴리스파트너스,이노폴리스파트너스 모태자조합 제2호,,,12,,모태펀드,,,,30000000000
투자조합,유니온투자파트너스,유니온투자파트너스 모태자조합 제4호,,,12,,모태펀드,,,,123640000000
투자조합,지온인베스트먼트,지온인베스트먼트 모태자조합 제2호,,,12,,모태펀드,,,,14000000000
투자조합,보광인베스트먼트,보광인베스트먼트 모태자조합 제2호,,,12,,모태펀드,,,,8313000000
투자조합,씨제이인베스트먼트,씨제이인베스트먼트 모태자조합 제4호,,,12,,모태펀드,,,,20000000000
투자조합,이수창업투자,이수창업투자 모태자조합 제4호,,,12,,모태펀드,,,,10000000000
투자조합,인터베스트,인터베스트 모태자조합 제4호,,,12,,모태펀드,,,,110000000000
투자조합,린드먼아시아인베스트먼트,린드먼아시아인베스트먼트 모태자조합 제3호,,,12,,모태펀드,,,,100000000000
투자조합,한국벤처투자,한국벤처투자 모태자조합 제2호,,,12,,모태펀드,,,,107000000000
투자조합,유안타인베스트먼트,유안타인베스트먼트 모태자조합 제5호,,,12,,모태펀드,,,,38000000000
투자조합,아이엠엠인베스트먼트,아이엠엠인베스트먼트 모태자조합 제4호,,,12,,모태펀드,,,,50000000000
투자조합,한화투자증권,한화투자증권 모태자조합 제6호,,,12,,모태펀드,,,,47500000000
